Author,Comment,Published At,Likes
@BJhondiewatch,Ijin melenceng sedikit mungkin bukan dari B.P.O.M saja yang perlu digaris bawahi tapi M.U.I juga perlu diambil jalan tengahnya,2024-07-08T10:33:29Z,0
@whathefawk,"invansif , belum pernah pasang atau pakai tiktok",2024-06-29T12:06:48Z,0
@Paijoxxxx,"Koh bahas platform super app yg pelan2 bunuh UMK food n drink krn mrk minta rate service dr merchant, customer sama driver tinggi plus biaya iklan promosi dll sehingga harga items yg dijual jadi naik, bikin bisnis umkm malah ga kuat saing",2024-06-26T07:11:44Z,0
@eddynoerhamidy8826,Rezim penguasa yg lemah mudah dipengaruhi oleh bangsa asing pura2 pintar berani lawan eropa dgn hilirisasi industri tapi di pecundangi si jin tiongkok tdk berkutik karena para pejabat korup rakus dan haus ke kuasaan,2024-06-24T14:37:40Z,0
@NIPORU,Mau nanya kenapa negara kita gk bikin aplikasi yang serupa seperti tiktok ?,2024-06-02T07:47:52Z,0
@thomascool1335,"tiktok itu pro white supremacy sama neo-nazism. setiap kali gw menang argumen sama mereka, komen gw selalu di banned sampe2 akun gw di banned juga, bahkan gw copy paste komen salah satu dari mereka pun gw di banned padahal komen mereka udah 2 bulan dan sedangkan gw baru komen 2 menit",2024-04-08T10:09:02Z,0
@Auliyastory8193,Gua ngk pernah maen nama ya tiktok,2024-04-08T10:03:54Z,0
@Haloo_hehee,🔥🔥🔥 Ko Raymon keren banget,2024-03-28T04:22:09Z,0
@kahwaku,"Gw kok setuju Bro Raymond jadi menteri .
Tentu yg relevan dgn skill dan basic beliau ..untuk menghadapi Era Digital yg semakin dan makin anjirr ..",2024-03-19T19:42:03Z,0
@user-cq1tq4yl4h,ga dapat gua pointnya,2024-01-19T06:36:32Z,0
@tesalonika71,Dari dulu sampe sekarang gk pernah instal TT 🗿,2023-12-26T11:44:46Z,0
@ILHAM-nu3rl,"Yok yang baru nonton kita sama sama uninstall Tik tok,",2023-12-17T01:15:26Z,0
@rizkypujianto5505,Gw nonton tema ini langsung subrek dan like aja soalnya tajem,2023-12-12T11:22:16Z,0
@asfilpabregas3322,👍👍🙏🙏,2023-12-06T00:41:06Z,0
@user-pz1hv5zd7m,Kak masukin referensi nya juga dong.,2023-12-03T16:41:44Z,0
@fajarprayoga8214,Sampe sekarang ga pernah pke tekotok,2023-11-25T14:19:53Z,0
@user-lp6kd9yz6i,"Bang, boleh dong bikin video dampak negative brainwash tiktok tanpa kita sadar.. karena sedih banget sih gua jadi banyak ga bersyukur karena postingan2 yang muncul di tiktok",2023-11-17T23:48:27Z,0
@khaifhinjhons,❤❤❤,2023-11-14T13:03:38Z,0
@agustamgustam7556,"kenapa pemerintah ngak mau belajar dari tiktok untuk perkembangan dagang dalam negri kita, mau memaksa terapkan gaya lama kualitas barang tidak sebagus yg luar punya tapi harga sepanlit, inilah penyakit kita di indonesia antara pedagang kita dan konsumen tidak adanya prantara yg nyaman diantara keduanya yg membuat keduanya sama² merasa diuntungkan, ini dagang buat ekonomi  menengah kebawah bukan dagang buat org² elit kaya yg saling adu gengsi buat beli mobil sport",2023-11-11T06:07:00Z,0
@DikiVape,LEBIH KE BISNIS OFLINE DARI PADA ONLINE(NO TIK TOK),2023-11-06T05:20:21Z,0
@foodystoriesdiy,"Totaly Agree with this video YouTube content that Tiktok kill our UMKM in Indonesian, their application to own money for their people in China",2023-11-05T13:26:53Z,0
@mohamadtaufiqhidayat4743,Apa kabar Pasar Tanah Abang ? Apa sudah rame setelah Tiktok Shop ditutup ??,2023-11-04T13:09:41Z,0
@lisalin8462,"Nonton video raymond jadi pinter, suka deh",2023-11-01T03:14:14Z,0
@miagaming5336,Dari sini gw mulai paham sih,2023-10-28T22:48:12Z,0
