Author,Comment,Published At,Likes
@jesterzubrata,Ya cari kerja sosah sekarang di tambah lagi klo punya gelar perusahaan mikir2 mau kerjain pasti minta banyak😂 dan sekarang hobi saya yg menghasilkan uang walau cuma $200perbulan,2024-08-02T09:32:08Z,0
@arz_xy6685,"Masalahnya tuh terletak pada pemerintahnya yang cuman mikir kekayaan nya sendiri, pemerintahnya bobrok = masyarakatnya bobrok",2024-08-02T09:04:51Z,0
@tedy8017,gen Z itu sebagian mang sotoy mau gaji gede tapi ga bisa kerja......,2024-08-02T06:40:14Z,0
@yukialniani,kita sekolah hanya tau tentang BUDI  ... tidak ada skil sama sekali .mb,2024-08-02T04:41:22Z,0
@muhammadraffanalvarendrafe2304,"Masalahnya cuma 1
Kebutuhan pokok mahal
Karyawan minta naik gaji
Pihak perusahaan keberatan 
Akhirnya phk masal dan tidak menerima pekerja baru
Coba klo kebutuhan pokok/pangan murah
Dengan gaji sedikit sudah tercukupi
Karyawan ga minta naik gaji
Pihak perusahaan masih bisa nampung karyawan baru
Jalan satu satunya bikin kebutuhan pokok murah, nanti semuanya jd murah
Semua mahal krna harga di naikan mengikuti kebutuhan pokok",2024-08-02T02:57:42Z,0
@Tuan13-i3b,Itu karena omangan anda suruh orang percaya pemerintah dan pilih rezim. Sesampai datang ke IKN pastikan kenerja joko paling top bini semua salah anda orang jawa termakan omongan anda,2024-08-02T00:23:21Z,0
@caayaummil,"Lucunya, pemerintah bilang edukasi adalah kebutuhan tersier sementara untuk rubah sistem butuh mindset yang bagus. Coba bisa dilihat kenapa negara maju seperti China sangat mengedepankan edukasi. Sementara disini, edukasi adalah kebutuhan tersier woakwoakoawko",2024-08-02T00:17:58Z,0
@rockyr4820,Skill digital lu sendiri apa bro ? Yg termasuk high labour skill ?,2024-08-01T16:14:45Z,0
@ogilkama6661,Kali disini ada yang mau bantu🙏 PDAM di rumah saya mau di cabut karena belum bayar 3 bulan total Rp. 250rb.. saya belum punya uang,2024-08-01T14:26:28Z,0
@mulyajelajahri9663,NGGA ADA PENGANGGURAN YANG ADA PEMALAS😂😂😂,2024-08-01T11:51:46Z,0
@hamzahhere550,"Kebanyakan yg korupsi,jdi takut org luar invest kesni",2024-08-01T11:01:33Z,0
@callmefreak1760,"kesimpulan , jangan buang waktu di indonesia , buat apa membela negara ini , apa faedah nya ? mending pindah negara = keputusan paling terbaik , nunggu indonesia berubah keburu saya mati , miskin lagi",2024-08-01T06:33:56Z,0
@M.Dalimi,"Masalah nya ya di presidennya , ga ngerti permasalahan bangsa, kapasitas kang furnitur suruh ngurus negara, kacau jdiny😊😅",2024-08-01T03:36:08Z,0
@mr.rojerrojer5496,Boro2 Indonesia emas.. perunggu aja nggak,2024-07-31T03:01:05Z,0
@jokeinsidejoke9414,"sy ngak yakin 9 juta. data dari disnaker pencari kerja 45 jt. jgn"" org yg kerja serabutan di hitung kerja juga sama bps",2024-07-31T00:59:57Z,0
@biazeaje,"SUSAH CARI KERJA ATAU PILIH-PILIH PEKERJAAN? 

= 

SUSAH BELI RUMAH ATAU MAINYA BELI RUMAH DI MENTENG?

=

DEKLARASI FREE CHILD ATAU ADA PROBLEM MEDIS SULIT PUNYA ANAK?",2024-07-31T00:19:17Z,0
